disease name,lncRNA name,score,Rank
disease of metabolism,GAS5,0.94,1
disease of metabolism,HOTAIR,0.934,2
disease of metabolism,UCA1,0.93,3
disease of metabolism,PCAT1,0.894,4
disease of metabolism,TUG1,0.878,5
disease of metabolism,XIST,0.87,6
disease of metabolism,NEAT1,0.858,7
disease of metabolism,SPRY4-IT1,0.836,8
disease of metabolism,CTBP1-AS,0.818,9
disease of metabolism,WT1-AS,0.806,10
disease of metabolism,PRNCR1,0.802,11
disease of metabolism,TP53COR1,0.798,12
disease of metabolism,BANCR,0.798,13
disease of metabolism,SCHLAP1,0.798,14
disease of metabolism,C1QTNF9B-AS1,0.798,15
disease of metabolism,CBR3-AS1,0.79,16
disease of metabolism,HULC,0.784,17
disease of metabolism,CCAT2,0.772,18
disease of metabolism,HOTTIP,0.766,19
disease of metabolism,TUSC7,0.75,20
disease of metabolism,MIAT,0.742,21
disease of metabolism,LINC00474,0.73,22
disease of metabolism,MIR17HG,0.726,23
disease of metabolism,LINC00675,0.724,24
disease of metabolism,LINCMD1,0.722,25
disease of metabolism,CCAT1,0.714,26
disease of metabolism,DAOA-AS1,0.69,27
disease of metabolism,DISC2,0.686,28
disease of metabolism,MIR155HG,0.68,29
disease of metabolism,ESRG,0.676,30
disease of metabolism,GAS5,0.94,1
disease of metabolism,HOTAIR,0.934,2
disease of metabolism,UCA1,0.93,3
disease of metabolism,PCAT1,0.894,4
disease of metabolism,TUG1,0.878,5
disease of metabolism,XIST,0.87,6
disease of metabolism,NEAT1,0.858,7
disease of metabolism,SPRY4-IT1,0.836,8
disease of metabolism,CTBP1-AS,0.818,9
disease of metabolism,WT1-AS,0.806,10
disease of metabolism,PRNCR1,0.802,11
disease of metabolism,TP53COR1,0.798,12
disease of metabolism,BANCR,0.798,13
disease of metabolism,SCHLAP1,0.798,14
disease of metabolism,C1QTNF9B-AS1,0.798,15
disease of metabolism,CBR3-AS1,0.79,16
disease of metabolism,HULC,0.784,17
disease of metabolism,CCAT2,0.772,18
disease of metabolism,HOTTIP,0.766,19
disease of metabolism,TUSC7,0.75,20
disease of metabolism,MIAT,0.742,21
disease of metabolism,LINC00474,0.73,22
disease of metabolism,MIR17HG,0.726,23
disease of metabolism,LINC00675,0.724,24
disease of metabolism,LINCMD1,0.722,25
disease of metabolism,CCAT1,0.714,26
disease of metabolism,DAOA-AS1,0.69,27
disease of metabolism,DISC2,0.686,28
disease of metabolism,MIR155HG,0.68,29
disease of metabolism,ESRG,0.676,30
carbohydrate metabolism disease,GAS5,0.902,1
carbohydrate metabolism disease,HOTAIR,0.9,2
carbohydrate metabolism disease,TUG1,0.868,3
carbohydrate metabolism disease,XIST,0.866,4
carbohydrate metabolism disease,UCA1,0.866,5
carbohydrate metabolism disease,NEAT1,0.826,6
carbohydrate metabolism disease,WT1-AS,0.78,7
carbohydrate metabolism disease,PCA3,0.762,8
carbohydrate metabolism disease,SPRY4-IT1,0.762,9
carbohydrate metabolism disease,MIR17HG,0.738,10
carbohydrate metabolism disease,MIAT,0.724,11
carbohydrate metabolism disease,CDKN2A-AS1,0.698,12
carbohydrate metabolism disease,BANCR,0.694,13
carbohydrate metabolism disease,ESRG,0.692,14
carbohydrate metabolism disease,MIR155HG,0.684,15
carbohydrate metabolism disease,HOTTIP,0.676,16
carbohydrate metabolism disease,MCHR2-AS1,0.674,17
carbohydrate metabolism disease,PCAT1,0.666,18
carbohydrate metabolism disease,TP53COR1,0.662,19
carbohydrate metabolism disease,HULC,0.66,20
carbohydrate metabolism disease,HCP5,0.65,21
carbohydrate metabolism disease,LINC00675,0.64,22
carbohydrate metabolism disease,CCAT2,0.632,23
carbohydrate metabolism disease,DAOA-AS1,0.604,24
carbohydrate metabolism disease,PCGEM1,0.6,25
carbohydrate metabolism disease,BCYRN1,0.598,26
carbohydrate metabolism disease,ATXN8OS,0.588,27
carbohydrate metabolism disease,HAR1A,0.582,28
carbohydrate metabolism disease,DISC2,0.582,29
carbohydrate metabolism disease,LINCMD1,0.574,30
disease by infectious agent,CDKN2B-AS1,0.932,1
disease by infectious agent,PVT1,0.926,2
disease by infectious agent,H19,0.9,3
disease by infectious agent,MALAT1,0.898,4
disease by infectious agent,HOTAIR,0.86,5
disease by infectious agent,TUG1,0.854,6
disease by infectious agent,XIST,0.854,7
disease by infectious agent,MEG3,0.844,8
disease by infectious agent,KCNQ1OT1,0.826,9
disease by infectious agent,MIR155HG,0.816,10
disease by infectious agent,CDKN2A-AS1,0.79,11
disease by infectious agent,TP53COR1,0.77,12
disease by infectious agent,MIAT,0.746,13
disease by infectious agent,NEAT1,0.722,14
disease by infectious agent,HAR1A,0.706,15
disease by infectious agent,ESRG,0.698,16
disease by infectious agent,LINCMD1,0.682,17
disease by infectious agent,PISRT1,0.67,18
disease by infectious agent,HULC,0.662,19
disease by infectious agent,UCA1,0.662,20
disease by infectious agent,BCYRN1,0.652,21
disease by infectious agent,BANCR,0.646,22
disease by infectious agent,WT1-AS,0.646,23
disease by infectious agent,AFAP1-AS1,0.636,24
disease by infectious agent,HOTTIP,0.634,25
disease by infectious agent,SOX2-OT,0.618,26
disease by infectious agent,IGF2-AS,0.618,27
disease by infectious agent,SPRY4-IT1,0.612,28
disease by infectious agent,MIR100HG,0.61,29
disease by infectious agent,DAOA-AS1,0.59,30
sensory system disease,H19,0.81,1
sensory system disease,MEG3,0.714,2
sensory system disease,MALAT1,0.708,3
sensory system disease,PVT1,0.69,4
sensory system disease,ATXN8OS,0.674,5
sensory system disease,BCYRN1,0.672,6
sensory system disease,XIST,0.666,7
sensory system disease,MIAT,0.658,8
sensory system disease,CDKN2A-AS1,0.638,9
sensory system disease,HOTAIR,0.626,10
sensory system disease,KCNQ1OT1,0.598,11
sensory system disease,TUG1,0.584,12
sensory system disease,TP53COR1,0.582,13
sensory system disease,GAS5,0.574,14
sensory system disease,HAR1A,0.574,15
sensory system disease,LINCMD1,0.572,16
sensory system disease,ESRG,0.568,17
sensory system disease,MIR155HG,0.534,18
sensory system disease,DAOA-AS1,0.516,19
sensory system disease,HCP5,0.51,20
sensory system disease,NEAT1,0.508,21
sensory system disease,LINC00271,0.486,22
sensory system disease,MCHR2-AS1,0.478,23
sensory system disease,UCA1,0.466,24
sensory system disease,WT1-AS,0.452,25
sensory system disease,CCAT2,0.442,26
sensory system disease,HCG9,0.44,27
sensory system disease,IGF2-AS,0.44,28
sensory system disease,LINC01080,0.422,29
sensory system disease,HNF1A-AS1,0.402,30
monogenic disease,H19,0.712,1
monogenic disease,ESRG,0.58,2
monogenic disease,KCNQ1OT1,0.57,3
monogenic disease,PVT1,0.526,4
monogenic disease,MALAT1,0.52,5
monogenic disease,MEG3,0.498,6
monogenic disease,GAS5,0.462,7
monogenic disease,MIR155HG,0.452,8
